"puesto","empresa","nivel","area","fecha","detalle","link","departamento","fecha_scraping"
"ESP TEACHER","InContext ETC English Training Centre","Profesional","Educación - Recreación - Deportes","Hace 4 semanas ","•	To teach and educate students according to guidelines provided;
•	To teach and educate students according to the educational needs, abilities and attainm ...","https://trabajo.gallito.com.uy/anuncio/esp-teacher-b66vy","montevideo",2019-11-10 20:09:42
"ATENCION AL CLIENTE","Importante empresa","Auxiliar","Atención al cliente","Hace 4 semanas ","Buscamos personal con y sin experiencia para  Atención al cliente.
Contamos con Horarios flexibles de 6 y 8 Horas de Lunes a Viernes. Contar con buena Pres ...","https://trabajo.gallito.com.uy/anuncio/atencion-al-cliente-y6d68","montevideo",2019-11-10 20:09:42
"PANADERO BIZCOCHERO GALLETERO","","Técnico / Especialista","Servicios - Oficios","Hace 4 semanas ","Se necesita Panadero especializado en bizcochería y galleterìa, para turno diurno.
Con experiencia comprobable. Jornal $1100.
 Puntualidad y cumplimiento,  ...","https://trabajo.gallito.com.uy/anuncio/panadero-bizcochero-galletero-rtjrr","montevideo",2019-11-10 20:09:42
"ESTUDIANTES DE ANALISTA O INGENIERÍA DE SISTEMAS (PRIMERA EXPERIENCIA LABORAL)","ADVICE","Analista","Tecnologías de la información","Hace 4 semanas ","Reconocida empresa multinacional del sector de Tecnologías de la Información.

Estudiantes de las carreras de Analista o Ingeniería de Sistemas, que cuente ...","https://trabajo.gallito.com.uy/anuncio/estudiantes-de-analista-o-ingenieria-de-sistemas-primera-experiencia-laboral-8jzjd","montevideo",2019-11-10 20:09:42
"TÉCNICO EN REFRIGERACIÒN Y AIRE ACONDICONADO","Empresa","Técnico / Especialista","Servicios - Oficios","Hace 4 semanas ","Se solicita personal, medio oficial en refrigeración y aire acondicionado
Para mantenimiento reparaciòn e instalación en un centro hospitalario.


Es MUY i ...","https://trabajo.gallito.com.uy/anuncio/tecnico-en-refrigeraci-n-y-aire-acondiconado-s236u","montevideo",2019-11-10 20:09:42
"COMPRADOR FOOD","RECONOCIDA EMPRESA","Asistente","Administración - Secretariado","Hace 4 semanas ","Importante SUPERMERCADO busca COMPRADOR.
Características deseadas: dinamismo, capacidad de negociación, entusiasmo, motivación por la búsqueda de nuevas pr ...","https://trabajo.gallito.com.uy/anuncio/comprador-food-reg42","montevideo",2019-11-10 20:09:42
"LICENCIADO EN OFTALMOLOGÍA","  ","Ejecutivo Comercial","Ventas - Comercial","Hace 4 semanas ","Seleccionamos Licenciado en Oftalmología para desempeñarse en prestigiosa Óptica.

La posición implica: la atención personalizada al cliente, evacuando dud ...","https://trabajo.gallito.com.uy/anuncio/licenciado-en-oftalmologia-2agb9","montevideo",2019-11-10 20:09:42
"VENDEDORAS","","Ejecutivo Comercial","Ventas - Comercial","Hace 4 semanas ","Auren Capital Humano selecciona VENDEDORAS para el nuevo Fitness Center de ViaAqua ubicado en Malvin. 

Orientamos nuestra búsqueda a jóvenes con excelente ...","https://trabajo.gallito.com.uy/anuncio/vendedoras-332nd","montevideo",2019-11-10 20:09:42
"IDÓNEO EN FARMACIA","Importante empresa","Técnico / Especialista","Salud","Hace 4 semanas ","Importante empresa del sector farmacéutico busca candidato/a para cubrir puesto de Idóneo en Farmacia para atención al público. 

Requisitos:

-Buscamos pe ...","https://trabajo.gallito.com.uy/anuncio/idoneo-en-farmacia-qn8rp","montevideo",2019-11-10 20:09:42
"MOZA","RESTAURANTE EN L CENTRO","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 4 semanas ","SE NECESITA MOZA 
PARA RESTAURANTE EN EL CENTRO. SAN JOSE 1229
PARA TRABAJO EN LA NOCHE
PRESENTARSE CON CURRICULUM DE LUNES A SABADOS DE 9 A 11 PARA ENTREG ...","https://trabajo.gallito.com.uy/anuncio/moza-j2j4n","montevideo",2019-11-10 20:09:42
"COORDINADOR DE TRANSPORTE NACIONAL","Empresa de Transporte en crecimiento","Jefe","Logística - Distribución","Hace 4 semanas ","Empresa en el rubro del transporte realiza búsqueda de Coordinadores de cargas a nivel Nacional, con experiencia en el rubro. Serán responsables de coordin ...","https://trabajo.gallito.com.uy/anuncio/coordinador-de-transporte-nacional-eus9n","montevideo",2019-11-10 20:09:42
"CUIDADOR PARA RESIDENCIAL","Casa Campo","Auxiliar","Salud","Hace 1 mes ","Cuidado de los residentes que se le asignan
Limpieza de sector asignado No faltar.
1 año de experiencia mínimo en residenciales.
Disponibilidad de horario. ...","https://trabajo.gallito.com.uy/anuncio/cuidador-para-residencial-2mz2v","montevideo",2019-11-10 20:09:42
"MECÁNICO AUTOMOTRIZ NAFTA Y DIESEL","Importante empresa","Técnico / Especialista","Producción","Hace 1 mes ","Mecánico automotriz para autos nafta y diésel del 2015 en adelante Mecánico automotriz para autos nafta y diésel del 2015 en adelante","https://trabajo.gallito.com.uy/anuncio/mecanico-automotriz-nafta-y-diesel-bezet","montevideo",2019-11-10 20:09:42
