"puesto","ID","fechaScraping","empresa","barrioCiudad","dpto","area","puestos","jornada","detalles","subareas","requisitos","fpub","dia"
"Representante de Vendas de Serviços ao Cliente","www.buscojobs.com.uy/representante-de-vendas-de-servicos-ao-cliente-ID-164697",2019-01-24 01:51:25,"(Confidencial)","Zonamérica","Montevideo","Desarrollo de Producto / Marca",NA,"Completa","Resumo:Como Representante de Vendas de Serviços ao Cliente você será responsável por oferecer Excelência em Vendas por meio de interações de saída/entrada para clientes existentes e potenciais, para todos os canais fornecidos pela empresa. Os agentes bem-sucedidos solucionam problemas orientados para objetivos, com uma base sólida de competências comerciais e conhecimento do produto.Para ser um Representante de Vendas de Serviços ao Cliente eficaz, você deve ser um excelente comunicador, influenciador e saber lidar com pessoas. Você deve se sentir cômodo apresentando produtos ou serviços por telefone, bem como lidando com reclamações e dúvidas.Você informará o Líder da Equipe de Vendas e trabalhará com outras equipes dentro da empresa, como Fraude e Atendimento ao Cliente, para oferecer feedback e estar alinhado com as iniciativas de outras equipes que tenham impacto nas Vendas.Você será avaliado com base na quantidade de ligações que você lida diariamente e mensalmente, sua influência e impacto no programa de conversão, além da sua capacidade de resolver reclamações dos clientes, investigando problemas e desenvolvendo soluções.Responsabilidades:- Fazer ligações para receber novos clientes, com o objetivo de alcançar uma interação de vendas.- Fazer ligações para clientes existentes, com o objetivo de alcançar uma interação de vendas usando scripts.- Fazer ligações para clientes existentes, com o objetivo de resolver problemas ou possíveis dúvidas, bem como fazer perguntas para entender as necessidades do cliente.- Alcançar ou superar os objetivos diários de interações, chamadas.- Alcançar os requisitos mínimos de objetivos de produtividade. (Tempo de conversação e contatos por dia).- Adquirir novas contas em uma base diária.- Capacidade de superar múltiplas objeções no decorrer de uma chamada de vendas.- Educar de forma eficiente e precisa os clientes na funcionalidade do site.- Conectar com precisão as interações, de acordo com o procedimento de registro de chamadas de vendas e observar informações úteis.- Aderir às diretrizes do departamento para minimizar a atividade de fraude e o risco da empresa.- Promover uma imagem positiva e profissional em todos os contatos, internos e externos.- Oferecer feedback sobre promoções antes e depois do lançamento de campanhas específicas orientadas para o cliente.- Contribuir para o trabalho do projeto do Departamento de Vendas em andamento, quando apropriado, incluindo chamadas de entrada de acordo com os requisitos do negócio. Requisitos:- Sólidas competências comerciais, verbais e escritas: comunicação, influência, escuta e resolução de problemas em português e espanhol.- Bom conhecimento da indústria do entretenimento e das necessidades e expectativas dos clientes.- Boa organização e habilidades multitarefa combinadas com uma gestão do tempo excepcional.- Capacidade de trabalhar de forma independente ou como parte de uma equipe- Capacidade de se adaptar às mudanças e evoluir com uma empresa em rápido crescimento.- Excelentes habilidades de negociação e a capacidade de resolver problemas e lidar com reclamações.- Experiência em vendas será valorizada.- Bom conhecimento da cultura brasileira será valorizado.- Conhecimentos em inglês serão valorizados.- Disponibilidade para trabalhar turnos rotativos.- Amante dos esportes.","Marketing – Publicidad / Desarrollo de Producto / Marca
									
										Marketing – Publicidad / Marketing
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Call Center
									
								Estudio Mínimo Necesario: Secundaria Completa
							
							
							
							
								
							
						

						
					
					
				",2019-01-22,"martes"
"Encuestador puerta a puerta","www.buscojobs.com.uy/encuestador-puerta-a-puerta-ID-164696",2019-01-24 01:51:25,"Equipos Mori",NA,NA,"Atención al Cliente",NA,"Indiferente","EQUIPOS CONSULTORES SeleccionaEncuestadores para TODOS los DepartamentosExcelente oportunidad de inserción y/o desarrollo profesional para personas de todas las ciudades del país y que tengan disponibilidad total o parcial para emprender la actividad.Se ofrece capacitación y flexibilidad horaria según disponibilidad, siendo la remuneración en función de las encuestas realizadas.Se requiere de personas activas, dinámicas, responsables y con excelente capacidad de comunicación. Tambíen es requerido conocimiento de herramientas informáticas a nivel de usuario.Se considerarán todas las postulaciones y se contactarán a los postulados según las necesidades en cada departamento.","Atención al Cliente / Atención al Cliente
									
										Oficios – Servicios Varios / Encuestador
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Venta de servicios
									
										Atención al Cliente
									
										Encuestador
									
								Estudio Mínimo Necesario: Secundaria Completa
							
							
							
							
								
							
						

						
					
					
				",2019-01-22,"martes"
"Vendedor de materiales de construcción","www.buscojobs.com.uy/vendedor-de-materiales-de-construccion-ID-164689",2019-01-24 01:51:25,"(Confidencial)",NA,"Montevideo","Comercial / Ventas",NA,"Completa","Buscamos un comercial con amplios conocimientos técnicos de construcción y experiencia en canal corporativo y venta en obras para Montevideo e Interior. Puede haber pertenecido a empresas constructoras,  sanitaria, barraca, ferretería industrial, energía, u otros relacionados con el negocio de la construcción.Es importante experiencia, conocimiento del rubro y cartera de clientes.Requisitos:Ingeniero, arquitecto o técnico idóneo en construcción. Experiencia comercial en empresas del ramo.Licencia de conducir. Se valorara vehículo propio.Enviar curriculum completo indicando referencias de su experiencia y aspiraciones salariales.","Comercio – Mercadeo – Ventas / Comercial / Ventas
									
										Construcción – Arquitectura / Arquitectura
									
										Construcción – Arquitectura / Construcción
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Coordinación de fuerza de ventas
									
										Venta a Empresas
									
								Estudio Mínimo Necesario: Terciario Completo
							
							
							Edad: Desde 25 Hasta 45 Años
							
							
							
								
							
						

						
					
					
				",2019-01-22,"martes"
"Technical Support Analyst","www.buscojobs.com.uy/technical-support-analyst-ID-164674",2019-01-24 01:51:25,"(Confidencial)","Zonamérica","Montevideo","HelpDesk / Soporte Técnico",NA,"Completa","Under general supervision, responsible for responding to moderately complex customer inquiries regarding company products. Analyzes problems using diagnostic tools to identify problem area(s) and recommend corrective action. Recommends solutions to customer application questions. Track problems so that recurring problems can be reported to product development. Interfaces with other departments including associates and suppliers to resolve customer problems. Follows-up and escalates unresolved problems to ensure resolution is accomplished and tracks calls to identify trends and provide feedback to internal departments and to customers.Requirements:Minimum 3 years related experience.Advanced computer software skills (Windows Server, UNIX, SQL will be considered a plus)Good written and verbal communication skills; ability to handle multiple projects simultaneously.","Tecnologías de la Información / HelpDesk / Soporte Técnico
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Sistemas
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							
							
								
							
						

						
					
					
				",2019-01-22,"martes"
"Associate TN Software Support General","www.buscojobs.com.uy/associate-tn-software-support-general-ID-164673",2019-01-24 01:51:25,"Sabre","Zonamérica","Montevideo","HelpDesk / Soporte Técnico",NA,"Completa","Job DescriptionWe are looking for customer-focused candidates who enjoy working with technology and are looking forward to develop their talents.Under direct supervision, responsible for responding to routine customer inquiries regarding functional and technical inquiries related to Sabre products. Analyzes problems using available tools to identify problem area(s) and recommend a solution. Maintains log of problems in accordance with applicable procedures. Monitors and escalates unresolved problems to 2nd and 3rd level support teams, provides status updates to customers.Availability to work on weekends is a MUST.Job RequirementsEDUCATION:Bachelor degree. University student or graduate.EXPERIENCE/REQUIREMENTS:Ability to analyze problems, identify root causes and make decisions to solve them.Proficient in using computer software products and working knowledge of Internet usage.Excellent telephone manner and customer service skills.Excellent writing skills, particularly email, to communicate with customers.Professional fluency in written and spoken English - proficient level required.The following qualifications are not required but will be considered a plus:Experience with travel distribution/reservation systems ((Sabre, Galileo, Amadeus),  including understanding the procedures related to the reservation, ticketing and fulfillment of travel bookings, Contact Center and /or telemarketing experience,                                 Experience working at a travel agency and/or airline reservation or other travel industry provider,Travel industry knowledge.Fluency in Portuguese, French or any other European Languages will receive special consideration.","Tecnologías de la Información / HelpDesk / Soporte Técnico
									
								","
					
						
							
							
							
							Conocimientos: 
							
								atención al cliente
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							
							
								
							
						

						
					
					
				",2019-01-22,"martes"
"Associate TN Operations CSBA","www.buscojobs.com.uy/associate-tn-operations-csba-ID-164672",2019-01-24 01:51:25,"Sabre","Montevideo","Montevideo","Administración Contable y Financiera",NA,"Completa","Job DescriptionCustomer Business Support  (CBS) TeamWe manage Sabre customers’ contracts with precision and care, bringing business relationships to life.Our teams deliver world-class customer support by understanding our customers’ specifics in detail.At CBS, we produce and deliver invoices, make payments, support our external travel agency customers and internal counterparts in any topic associated to the contract.In this role, you will get to generate, analyze and deliver valuable information to stakeholders within and outside the company, generating a network across the globe.Duties/Responsibilities of the role:Provides contract administration and customer support to travel agencies worldwide.Performs contract analysis, quality controls and storage of documentation, system setups, invoicing, payment process, reporting, and order placement. Job RequirementsWhich skills do we need in Customer Business Support?                Advanced English language (written and verbal) is required for this openingContract administration or back office backgroundAdvanced level of Portuguese, Dutch, French, German or Italian would be considered a plusComputer software skills: MS Office. Advanced use of Excel and Access knowledge would be considered a plusEffective communicationInterpersonal abilitiesAbility to multitask and work under pressureExcellent follow- up abilityDetail- orientedProblem solving and decision makingAbility and desire to work in a fast-paced challenging environmentLearning aptitudeCuriosityNice-to-haveSAP, SalesForce and SharePoint system knowledgeWe are looking for sharp, curious and flexible candidates who are interested in developing their skills, collaborating with teams across locations while contributing to build the best working environment.","Administración – Secretariado / Administración Contable y Financiera
									
										Atención al Cliente / Atención al Cliente
									
										Tecnologías de la Información / Administración / Instalación de Redes
									
								","
					
						
							
							
							
							Conocimientos: 
							
								atención al cliente
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							
							
								
							
						

						
					
					
				",2019-01-22,"martes"
"Associate TN Technical Support","www.buscojobs.com.uy/associate-tn-technical-support-ID-164671",2019-01-24 01:51:25,"Sabre","Zonamérica","Montevideo","Hardware / Reparación PC",1,"Completa","Under direct supervision provides first level technical support to Sabre Red Workspace users, with the objective of ensuring an optimal installation and configuration that delivers system peak performance. This support is provided both to customers as well as to internal colleagues.It includes:installing and configuring Sabre Software,diagnosing and solving hardware/software issues,diagnosing and solving connectivity issues,using remote access tools to assist customers,logging customer enquiries in our CRM,working in a team of technology professionals,escalating major problems to 2nd level.Benefits:social benefit package - VIP Medical Package, Life Insurance, Benefit System,a wide range of trainings and technical certification reimbursement,comfortable office location and modern office space,free of charge Parking lot for Employees,attractive referral bonus.-Previous experience in similar environments-Customer orientation and proficient computer software skills required-Advanced level of English,-Advanced level of one of the following: Italian, Greek, French,-Willingness to continuously learn and incorporate new knowledge as our technology evolves.","Tecnologías de la Información / Hardware / Reparación PC
									
										Tecnologías de la Información / HelpDesk / Soporte Técnico
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Actualización e Instalación de Software
									
										Configuración de Sistemas Hardware
									
										Tecnología e Innovación
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							
							
								
							
						

						
					
					
				",2019-01-22,"martes"
"Auxiliar administrativo contable","www.buscojobs.com.uy/auxiliar-administrativo-contable-ID-164659",2019-01-24 01:51:25,"(Confidencial)",NA,"Montevideo","Administración de Empresas",NA,"Completa","El cargo tendrá como tareas principales a realizar registros contables, conciliaciones, archivo de documentación, realización de planillas,atención a clientes,proveedores,entre otras tareas.Requisitos: Experiencia comprobable mínima 3 años.Sólidos conocimientos contables (excluyente),manejo de sistemas informáticos, buen dominio de herramientas informáticas.Poseer manejo fluido de idioma ingles,oral,escrito.Actitud pro activa y dinámica.","Administración – Secretariado / Administración de Empresas
									
										Administración – Secretariado / Auxiliar Administrativo
									
										Administración – Secretariado / Administración Contable y Financiera
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Administración Contable y Financiera
									
								Idiomas: 
							
							Inglés
								
							Estudio Mínimo Necesario: Terciario Incompleto
							
							
							Edad: Desde 25 Hasta 50 Años
							
							
							
								
									Sexo: Femenino
								
							
						

						
					
					
				",2019-01-22,"martes"
"Consultor Senior IT y Seguridad","www.buscojobs.com.uy/consultor-senior-it-y-seguridad-ID-164649",2019-01-24 01:51:25,"KPMG",NA,NA,"Consultoría",1,"Completa","Implica incorporarse al equipo de trabajo de atención a clientes de la firma, realizando tareas de Consultoría en Tecnologías de la Información relacionadas a Seguridad de la Información.Los postulantesIngenieros de Sistemas o Licenciados en Informática con experiencia laboral y con certificación vinculada a seguridad de la información y/o auditoría.Ofrecemos participación en proyectos desafiantes y perfeccionamiento técnico.","Tecnologías de la Información / Consultoría
									
										Tecnologías de la Información / Gestión de Proyectos
									
										Tecnologías de la Información / Seguridad Informática
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Sistemas
									
								Idiomas: 
							
							Inglés
								
							Estudio Mínimo Necesario: Terciario Completo
							
							
							
							
								
							
						

						
					
					
				",2019-01-22,"martes"
"Consultor Senior IT","www.buscojobs.com.uy/consultor-senior-it-ID-164647",2019-01-24 01:51:25,"KPMG",NA,NA,"Análisis de Sistemas",1,"Completa","Implica incorporarse al equipo de trabajo de atención a clientes de la firma, realizando tareas de Consultoría en Tecnología de la Información.Ingenieros en sistemas o Licenciados en Informática con experiencia en consultoría o proyectos de implantación de tecnologías de la información, valorándose la que posean en: implementación de soluciones, desarrollo de sistemas, data&analytics o automatización de procesos.Ofrecemos capacitación continua, oportunidades de desarrollo internacional y participación en proyectos desafiantes.","Tecnologías de la Información / Análisis de Sistemas
									
										Tecnologías de la Información / Consultoría
									
										Tecnologías de la Información / Gestión de Proyectos
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Ingeniería de Sistemas
									
										Sistemas
									
								Estudio Mínimo Necesario: Terciario Completo
							
							
							
							
								
							
						

						
					
					
				",2019-01-22,"martes"
"Vendedor de campo","www.buscojobs.com.uy/vendedor-de-campo-ID-164606",2019-01-24 01:51:25,"(Confidencial)","LasPiedras","Canelones","Análisis de Negocios",8,"Completa","Empresa de Emergencia Médica de primer nivel selecciona vendedores de campo que vivan en la zona de La Paz, Las Piedras y Progreso (excluyente). La tarea implica la comercialización del servicio en calle, stands, clínicas y clientes empresariales.También estamos seleccionando vendedores para nuestro Call Center en Montevideo. Mercado abierto y trabajo con base de clientes existentes.Requisitos: Buena presenciaExperiencia en venta de serviciosExclusividad y disponibilidad horariaProactividad, iniciativa y buena adaptación al trabajo en equipo.Se ofrece:Remuneración en base a resultadosCapacitación constanteHerramientas de trabajoMuy buen ambiente laboral","Comercio – Mercadeo – Ventas / Análisis de Negocios
									
										Comercio – Mercadeo – Ventas / Venta de Servicios
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Venta de productos en general
									
										Venta de servicios
									
								Estudio Mínimo Necesario: Secundaria Completa
							
							
							
							
								
							
						

						
					
					
				",2019-01-21,"lunes"
"VENDEDOR PARA MOSTRADOR","www.buscojobs.com.uy/vendedor-para-mostrador-ID-164642",2019-01-24 01:51:25,"(Confidencial)",NA,"Montevideo","Comercial / Ventas",1,"Completa","Vendedor/a  para Mostrador.Venta de Insumos para construcción en seco; Steel FramingNos orientamos en la búsqueda de vendedor/a  para mostrador; buscamos una persona proactiva y dinámica, con perfil servicial, excelentes habilidades de atención al cliente y con buena presencia. Cargo: La persona seleccionada estará a cargo de la venta en mostrador; seguimiento post venta, manejo de redes sociales entre otras tareasRequisitos: -Experiencia comprobable en ventas de artículos de obra seca, maderas y afines. (excluyente) -Conocimiento de herramientas informáticas básicas, sistemas informáticos, hoja de cálculos, etc.-Capacidad de negociación.-Manejo de redes sociales y venta online.-Disponibilidad horaria.","Comercio – Mercadeo – Ventas / Comercial / Ventas
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Venta en mostrador
									
								Estudio Mínimo Necesario: Secundaria Completa
							
							
							Edad: Desde 25 Hasta 40 Años
							
							
							
								
							
						

						
					
					
				",2019-01-21,"lunes"
"Psicologo","www.buscojobs.com.uy/psicologo-ID-164619",2019-01-24 01:51:25,"KPMG",NA,"Montevideo","Administración de Personal",1,"Completa","Formará parte del Equipo de Consultoría en Capital Humano, siendo responsable por llevar a cabo procesos de Selección, participando desde el inicio de los mismos en el relevamiento del perfil, realización de entrevistas por competencias, evaluaciones psicolaborales y elaboración de informes, entre otras actividades del Departamento que le sean solicitadas.Será valorada la experiencia de al menos 2 años en selección de personal y en Capacitación.","Recursos Humanos / Administración de Personal
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Psicología
									
								Idiomas: 
							
							Inglés
								
							Estudio Mínimo Necesario: Terciario Completo
							
							
							
							
								
							
						

						
					
					
				",2019-01-21,"lunes"
"URUDATA SOFTWARE: FULL STACK.NET","www.buscojobs.com.uy/urudata-software-full-stacknet-ID-164640",2019-01-24 01:51:25,"Urudata Software",NA,"Montevideo","Análisis de Sistemas",6,"Completa","Urudata Software está buscando egresados o estudiantes próximos a recibirse de la carrera de ingeniería de sistemas o afines.Experiencia mínima de 2 años trabajando en .Net, Javascript, HTML, CSS y bases de datos relacionales.Orientamos nuestra búsqueda a personas talentosas y apasionadas por la tecnología.Formaras parte de un equipo joven participando en todo el ciclo de vida de una solución. Son valoradas las capacidades de comunicación, análisis y diseño de soluciones utilizando metodologías ágiles.La carga horaria es full time, o part time con horario flexible.Gracias a un entorno de trabajo amigable y colaborativo, trabajamos todos juntos mirando hacia un mismo objetivo: obtener resultados de alta calidad.","Tecnologías de la Información / Análisis de Sistemas
									
										Tecnologías de la Información / Consultoría
									
										Tecnologías de la Información / Programación
									
										Tecnologías de la Información / Desarrollo
									
								","
					
						
							
							
							
							Conocimientos: 
							
								JavaScript
									
										SQL
									
										ASP.NET
									
										jQuery
									
										Microsoft .NET
									
										Asp.NET MVC 4+
									
										Entity Framework
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							
							
								
							
						

						
					
					
				",2019-01-21,"lunes"
"Vendedor para local comercial","www.buscojobs.com.uy/vendedor-para-local-comercial-ID-164638",2019-01-24 01:51:25,"(Confidencial)","Montevideo","Montevideo","Comercial / Ventas",1,"Completa","Solicitamos vendedor para local comercial vinculado al rubro de la construcción. Hombre entre 25-45 añosExperiencia en ventas, se valorara experiencia en el rubro de la sanitaria y/o arquitectura.Imprescindible contar con conocimiento y/o experiencia en estos temas.Se ofrece sueldo base + comisión.","Comercio – Mercadeo – Ventas / Comercial / Ventas
									
										Construcción – Arquitectura / Arquitectura
									
										Construcción – Arquitectura / Construcción
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Construcción
									
										Arquitectura
									
										Logística de ventas
									
										Sanitaria
									
								Estudio Mínimo Necesario: Secundaria Completa
							
							
							Edad: Desde 25 Hasta 45 Años
							
							
							
								
							
						

						
					
					
				",2019-01-21,"lunes"
"Secretario/a Bilingüe","www.buscojobs.com.uy/secretarioa-bilingue-ID-164639",2019-01-24 01:51:25,"(Confidencial)","PuntadelEste","Maldonado","Docencia – Administración y Secretariado",NA,"Completa","La búsqueda esta orientada a personas con experiencia en puestos administrativos y atención al público en el área educativa tanto pública como privada, así como conocimientos de las normativas de la educación.Con conocimientos en planillas de Excel, Word y google calendar.Bilingüe (excluyente)","Educación – Docencia / Docencia – Administración y Secretariado
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Gestión de Centro Educativo
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							
							
								
							
						

						
					
					
				",2019-01-21,"lunes"
"Profesor titulado de Portugués","www.buscojobs.com.uy/profesor-titulado-de-portugues-ID-164634",2019-01-24 01:51:25,"(Confidencial)","PuntadelEste","Maldonado","Docencia – Lenguas Extranjeras",1,"Indiferente","La busqueda se orienta a docentes titulados (habilitados) de Portugués.","Educación – Docencia / Docencia – Lenguas Extranjeras
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Docencia en lenguas extranjeras
									
								Estudio Mínimo Necesario: Terciario Completo
							
							
							
							
								
							
						

						
					
					
				",2019-01-21,"lunes"
"Auxiliar administrativo/contable","www.buscojobs.com.uy/auxiliar-administrativocontable-ID-164632",2019-01-24 01:51:25,"(Confidencial)","PuntadelEste","Maldonado","Administración Contable y Financiera",1,"Completa","La búsqueda se orienta a estudiantes avanzados en la carrera de contador/administración con experiencia en puestos administrativos contables.Con conocimientos de Memory Conty , Memory Worky (excluyente) y excel.Edad de 20 a 30 años.Residente en la zona.Carga horaria full-time.","Administración – Secretariado / Administración Contable y Financiera
									
										Atención al Cliente / Caja
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Auxiliar Administrativo
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							Edad: Desde 20 Hasta 30 Años
							
							
							
								
							
						

						
					
					
				",2019-01-21,"lunes"
"Asistente Administrativo y Logística","www.buscojobs.com.uy/asistente-administrativo-y-logistica-ID-164569",2019-01-24 01:51:25,"Initiative","Montevideo","Montevideo","Administración Contable y Financiera",1,"Completa","Asistente Administrativo y Logística. Recepción de facturas, ingreso de facturas y presupuestos asociados en el sistema contable, coordinación de pagos a proveedores del área, manejo y rendición de caja chica. Tareas de logística asociadas al área: coordinación de traslados de personas o mercaderías, organización y gestión del depósito, recepción de mercaderías de clientes, solicitud de presupuestos de mercaderías, etc. Tareas de Soporte: seguimiento de las evidencias del trabajo realizado y armado de reportes en base a los lineamientos recibidos.","Administración – Secretariado / Administración Contable y Financiera
									
										Contabilidad – Auditoría – Finanzas / Economía
									
										Distribución – Logística – Almacenamiento / Almacén / Depósito / Stock
									
										Distribución – Logística – Almacenamiento / Compras / Proveedores
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Administración de Empresas
									
										Auxiliar Administrativo
									
										Distribución, logística, depósito.
									
										Logística de producción
									
								Idiomas: 
							
							Inglés
								
							Estudio Mínimo Necesario: Terciario Incompleto
							
							
							Edad: Desde 20 Hasta 25 Años
							
							
							
								
							
						

						
					
					
				",2019-01-21,"lunes"
"Profesor titulado de Filosofía","www.buscojobs.com.uy/profesor-titulado-de-filosofia-ID-164631",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-21,"lunes"
"Profesor titulado de Química","www.buscojobs.com.uy/profesor-titulado-de-quimica-ID-164630",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-21,"lunes"
"Recepcionista","www.buscojobs.com.uy/recepcionista-ID-164608",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-21,"lunes"
"Vendedor/a para local en Punta Carretas Shopping","www.buscojobs.com.uy/vendedora-para-local-en-punta-carretas-shopping-ID-164620",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-20,"domingo"
"AUXILIAR PARA ANÁLISIS DE NEGOCIO","www.buscojobs.com.uy/auxiliar-para-analisis-de-negocio-ID-164605",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-18,"viernes"
"Captación telefónica de socios - Importante institución mundial","www.buscojobs.com.uy/captacion-telefonica-de-socios-importante-institucion-mundial-ID-164602",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-18,"viernes"
"Cadete","www.buscojobs.com.uy/cadete-ID-164595",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-18,"viernes"
"Vendedor Telefónico horario part time","www.buscojobs.com.uy/vendedor-telefonico-horario-part-time-ID-164535",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-17,"jueves"
"Auxiliar Contable","www.buscojobs.com.uy/auxiliar-contable-ID-164558",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-17,"jueves"
"Scraper","www.buscojobs.com.uy/scraper-ID-164521",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-17,"jueves"
"Analista de proyectos","www.buscojobs.com.uy/analista-de-proyectos-ID-164557",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-17,"jueves"
"QA Analyst","www.buscojobs.com.uy/qa-analyst-ID-164570",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-17,"jueves"
"VENDEDOR DE PLAZA","www.buscojobs.com.uy/vendedor-de-plaza-ID-164561",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-17,"jueves"
"Desarrollador APIA BPM con experiencia previa","www.buscojobs.com.uy/desarrollador-apia-bpm-con-experiencia-previa-ID-164559",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-17,"jueves"
"Product Support Manager ($100K/year)  - Remote Work","www.buscojobs.com.uy/product-support-manager-100kyear-remote-work-ID-164550",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-17,"jueves"
"Representante de Ventas Nuevas","www.buscojobs.com.uy/representante-de-ventas-nuevas-ID-164545",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-17,"jueves"
"DISEÑADOR/A GRAFICO/A SENIOR","www.buscojobs.com.uy/disenadora-graficoa-senior-ID-164526",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-16,"miércoles"
"Associate General Project Managment","www.buscojobs.com.uy/associate-general-project-managment-ID-164511",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-16,"miércoles"
"Aspirantes a técnico informático (1er. experiencia laboral)","www.buscojobs.com.uy/aspirantes-a-tecnico-informatico-1er-experiencia-laboral-ID-164510",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-16,"miércoles"
"Representante Comercial Senior","www.buscojobs.com.uy/representante-comercial-senior-ID-164459",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-15,"martes"
"Analista en Marketing","www.buscojobs.com.uy/analista-en-marketing-ID-164472",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-15,"martes"
"Asistente de ventas","www.buscojobs.com.uy/asistente-de-ventas-ID-164453",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-14,"lunes"
"Sports Analyst","www.buscojobs.com.uy/sports-analyst-ID-164431",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-14,"lunes"
"VENDEDOR PARA AGENCIA DE VIAJES","www.buscojobs.com.uy/vendedor-para-agencia-de-viajes-ID-164447",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-14,"lunes"
"Encargado de operaciones y logística.","www.buscojobs.com.uy/encargado-de-operaciones-y-logistica-ID-164401",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-14,"lunes"
"Ejecutivo de venta telefónica","www.buscojobs.com.uy/ejecutivo-de-venta-telefonica-ID-164417",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-14,"lunes"
"Vendedores Telefónicos - Portugués","www.buscojobs.com.uy/vendedores-telefonicos-portugues-ID-164389",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-11,"viernes"
"Customer Retention Representative","www.buscojobs.com.uy/customer-retention-representative-ID-164339",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-10,"jueves"
"Customer Service Representatives","www.buscojobs.com.uy/customer-service-representatives-ID-164337",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-10,"jueves"
"Ayudante de Reparto y Depósito/ Chofer.","www.buscojobs.com.uy/ayudante-de-reparto-y-deposito-chofer-ID-164308",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-09,"miércoles"
"Vendedor con experiencia","www.buscojobs.com.uy/vendedor-con-experiencia-ID-164318",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-09,"miércoles"
"Moza/o - turno 4 hs.","www.buscojobs.com.uy/mozao-turno-4-hs-ID-164279",2019-01-24 01:51:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-01-08,"martes"
